,text
90,"El Fmi acepto que se siga aumentando la cantidad  de ñoquis en el estado, acepto que se sigan aumentando impuestos y que los pobres nunca dejen se ser pobres.. o sea..  #AcuerdoconelFMI"
91,"#AcuerdoconelFMI Lula celebró que el acuerdo que Argentina logró con el FMI ""preserva la soberanía""
https://t.co/CVaUMActOH https://t.co/yAoQMC00rv"
92,"Quién está pagando la deuda trucha de Macri? 
Feminista. Kirchnerista. Peronista. Pañuelo verde.
Es dato, no es opinión.
#AcuerdoconelFMI 
☝️ Nomino de Cristina. Ex lobista de las multinacionales de medios."
93,"Indie Politik, [28 de ene de 2022 a las 12:25]
Argentina llegó a un #AcuerdoconelFMI para pagar la deuda tomada por Mauricio Macri.
En el Planeta TN le echaron la culpa.
A Cristina Kirchner.
🤷‍♀️
SI ELLOS ESTÁN CON CARA DE ORTO, ES PORQUE VAMOS BIEN‼️ARRIBA L@S ESCEPTIC@S‼️✌🏼✌🏼 https://t.co/XIFxT2f40N"
94,"No habrá ajuste, pero por las dudas le metemos un aumento a las naftas, total el argentino está adormecido. 
#AcuerdoconelFMI #Argentina"
95,#AcuerdoconelFMI https://t.co/phVVB4RyHq
96,"#ElPeorPresidenteDeLaHistoria
#AcuerdoconelFMI #LaLetraChica 
Congreso. Ajuste. BCRA. En 2023

Por más que se quejen de Macri, la única verdad es esta: https://t.co/oO9o0VM7qN"
97,"#AcuerdoconelFMI | JUNTOS POR EL CAMBIO | La Mesa Nacional ve ""positivo"" el acuerdo, pero espera detalles
https://t.co/eKMWSUnMne https://t.co/tGLtp6hqhn"
98,#AcuerdoconelFMI Corrijanme si me equivoco ¿Vamos a pagar deuda ilegitima (que podríamos judicializar) por deuda legitima? Casi como un blanqueo de la deuda de Macri.
99,"Un feminista pañuelo verde y peronista pagando la deuda trucha de Macri... 
Qué tiene de extraño? 
#AcuerdoconelFMI"
100,"https://t.co/tTN7ZKCozw
#AcuerdoconelFMI #Congreso"
101,"#AcuerdoconelFMI | DIPUTADOS | Los legisladores por Entre Ríos @mpcasaretto @BlancaOsunaOK @gabrielamlena y @frigeriorogelio opinaron sobre el entendimiento 
https://t.co/XzRNfFeHjF https://t.co/xFkvOvYu28"
102,"están indignados los radicales, los lilitos y la runfla del pro por el #AcuerdoconelFMI ?? Estuvieron bombeando dos meses sin hacerse cargo de que dejaron todo roto."
103,"#AcuerdoconelFMI
Legitimación de la deuda odiosa
Extosión trimestral
Tasa de interés para especuladores
Límite a la emisión, gasto y crecimiento
Pérdida de soberanía
JUNTOS POR EL CAMBIO FESTEJA"
104,"#AcuerdoconelFMI Dirigentes opositores celebraron acuerdo con el FMI y afirmaron que otorga ""previsibilidad al país""
https://t.co/1AFOn7QSTr https://t.co/kKieYz6bMr"
105,"#AcuerdoconelFMI 

Unos piensan en todos los argentinos.

Otros son muy caraduras https://t.co/TCrYsCwAc4"
106,"A mi no me interesa con quien se pongan de acuerdo, si la pagan ahora o cuando este otro gil. Lo que me importa es que nos dejen de meter el dedo un el culo. Basta de joder gente de laburo. 
#AcuerdoconelFMI #Argentina"
107,"#AcuerdoconelFMI | Vigilados por el FMI y ajuste garantizado.

https://t.co/Mp3w5TXm9L"
108,"#AcuerdoconelFMI las posiciones d las personas en cuanto al acuerdo, se determinan según con q ojos se ve el préstamo otorgado x el fmi. Si se ve como una estafa, estarán descontentos con el acuerdo. Si se lo ve como una deuda estarán algo alivianados. El panorama oscuro en ambos"
109,Is it too late now to say Scioli? #AcuerdoconelFMI
110,@aleberco #AcuerdoconelFMI https://t.co/ncVNdloBFU
111,"https://t.co/syTX2olnze

 #AcuerdoconelFMI"
112,"#AcuerdoconelFMI 
El nomino de Cristina paga la deuda de Macri mientras ANSES apela sentencias a jubilados. 
Se auto percibe: peronista, feminista y pañuelo verde. 👍#Chequeado 
#BuenViernes"
113,"(#Deuda 💰🤝)  

Para la CGT, el #AcuerdoconelFMI “prioriza el desarrollo económico” 👉 https://t.co/V2KcAqSZYB https://t.co/OCoKKdIzyf"
114,"#AcuerdoconelFMI 
Dos cosas
1- A Macri y toda su runfla, q nos endeudaron nuevamente con el FMI, se fumaron el préstamo y defaultearon la deuda en pesos, les pediría q cierren el orto.
2- Me gustaría ser tan optimista como algunos con este acuerdo."
115,@carlavizzotti #AcuerdoconelFMI Adelante Argentina! 🇦🇷 💥 ✌️
116,#AcuerdoconelFMI mi duda es si a Guzmán se lo garcharon con o sin forro
117,"Y cuando se endeudaron y que tu amigo decia ""Ojala Argentina se enamore de Christine Lagarde"" no se les dio por analizar la ""factibilidad de su cumplimiento"" ?Cararota !! #FMI #AcuerdoconelFMI https://t.co/jopRTZF4es"
118,"@Solanopo dejen de joder a la gente de laburo, con este #AcuerdoconelFMI hasta el capitalismo está perdiendo plata, burros. https://t.co/IMmgSlD0mZ"
119,#AcuerdoconelFMI https://t.co/5usov150Bd
120,"54 minutes ago
Macri
48K
#AcuerdoconelFMI
Congreso
83K
#AlmacenDeZurdos
#ElPeorPresidenteDeLaHistoria
Guzmán
30K
#YoEscuchoLOS40
Lizy
#LaLetraChica
Fondo Monetario Internacional
Dr Maria Harriet Stack 
#IrishArtistsForPeace 
#JusticeForMaria 
@KremlinRussia_E @KremlinRussia https://t.co/lpIFV2EY4Q"
121,"#AcuerdoconelFMI Expectativa en el Congreso por el envío del proyecto para respaldar el acuerdo con el FMI
https://t.co/ST45owE5i1 https://t.co/knvHRv81ph"
122,#AcuerdoconelFMI https://t.co/jjvfdrYs2u
123,Manchas después de enterarse que al ajuste lo pagamos nosotros y no la política. #AcuerdoconelFMI https://t.co/812xR7XpwD
124,"El peronismo, como siempre, haciéndose cargo de las cagadas ajenas, y laburando para desactivar bombas mientras el trotskismo opina desde la comodidad de nunca jamás gestionar nada.

#AcuerdoconelFMI https://t.co/lwbfnp6KAw"
125,"Ya metieron preso a Macri, Dujovne y toda la crema??

#AcuerdoConElFMI"
126,"#AcuerdoconelFMI
No conviertan lo positivo en desastre por favor, tenemos experiencia en eso 🤦‍♂️
https://t.co/q48APi51nZ"
127,"La hipoteca continúa. Hay necesidad de profundizar la campaña de rechazo al FMI.

Por @Jcgambina en 👇 
https://t.co/J658ZBaasu

#AcuerdoDeFacilidadesExtendidas
#JuanManzur
#MartínGuzman
#MauricioMacri
#FMI 
#AcuerdoconelFMI"
128,@aliciakirchner @alferdez #AcuerdoconelFMI 🇦🇷 ✌️ Adelante Argentina!
