,text
46,"#PaseSanitario #Salud #DerechoHumano

📢 La APDH apoya la implementación del ""Pase Sanitario"" en todo el territorio de la República Argentina.

👉 https://t.co/ZmQDqxDTXK https://t.co/wqOMyNG8ZR"
47,"#SesiónLegislativa | El #PaseSanitario, discrimina y divide a los tucumanos entre vacunados y no vacunados. Además es inconstitucional, violatorio de las libertades y de los derechos individuales, y una medida coactiva que torna arbitrariamente obligatoria la vacunación. https://t.co/l1ZsLNckJJ"
48,"#PaseSanitario... Después se ofenden si decís que en #SantaCruz hay una ""Dictadura K"" o si en #Formosa está el ""Dictador de Gildo""...
Y LOS DEFENSORES DE LOS DD.HH DÓNDE CARAJOS ESTÁN??"
49,"Hola docentes de Santa Cruz. Resulta que no se exige #pasesanitario en bares, casinos, ni en restaurantes PERO lo van a exigir en las escuelas? Rta: Porque toda la vida dieron la nota por tener la MENOR cantidad de días de clase. Dejaron de ser docentes hace mucho tiempo"
50,"#Vacunate, por un #CarnavalSeguro!

¿Ya tenés todo listo para el #carnaval? Aquí te dejamos lo que necesitás para el #KitCarnavalero: gorro, ramito de albahaca, serpentina, espuma y, lo más importante, el #PaseSanitario!

Completá tu esquema de #vacunación ✅

#saludjujuy #jujuy https://t.co/lqRckQH0uC"
51,"Si en Santa Cruz no se exige #pasesanitario en bares, casinos, ni en restaurantes, ¿Por qué se lo exige en las escuelas? 2 años sin clases y siguen sin preocuparse por mantener a los chicos en las escuelas. Sra. gobernadora provea educación a los  santacruceños. Es su deber."
52,"Aprobaron la prórroga del #pasesanitario en #Tucuman 

La Legislatura votó a favor del DNU firmado por Jaldo. La votación fue 32 votos a favor y 7 en contra.

https://t.co/r38K0nKV7Q"
53,"Hasta a los planeros los van a obligar a vacunarse para seguir manteniendolos. En vez de darles trabajo los van a condenar a muerte,  el #pasesanitario tambien te afecta a vos planero."
54,"#FuerzaRepublicana votó en contra de la prórroga de la vigencia del #PaseSanitario ¡En diciembre marcamos nuestra postura y ahora la refrendamos! No somos anti vacunas pero defendemos los principios constitucionales que rigen las instituciones. 

#Sesion 
#Tucuman https://t.co/B3OYnkV9EQ"
55,"📌#Misiones #Universitarias #PaseSanitario 
👉Así lo aseguró el vicerrector de la #UNAM  Fernando Kramer, quien adelantó además que avanzarán hacia un distanciamiento cero. Por ahora, los cursillos de ingreso se seguirán dictando de manera virtual.
🔽🔽🔽
https://t.co/JpYqLO9MOp"
56,"La Legislatura aprobó el DNU del #PaseSanitario
https://t.co/FD5DkW7U3G"
57,"#Sesion | Extraordinaria 

Coherentes con nuestra visión y nuestra postura adoptada en el mes de diciembre #FuerzaRepublicana votó en contra de la prórroga del #PaseSanitario ¡Nada que atente contra la libertad y los principios constitucionales!

#Tucuman https://t.co/ZMJph4eeS9"
58,"#SantaCruz la provincia donde hubo #VacunacionVip, ahora exige #PaseSanitario a nuestros hijos y sino tendrán que realizar #ClasesVirtuales, me pregunto esto no es un hecho de #Discriminación,  luego de haber dicho que no se iba a solicitar esto. Esto es #Kirchnerismo #Basta"
59,"💉 ¿Cuán efectivo es el #pasesanitario para fomentar la vacunación?🤔

El pase reserva ciertas actividades públicas a los vacunados, lo que fomentaría a los no vacunados a hacerlo 👍

👉 En #Argentina rige desde el 1 de enero a nivel nacional. ¿Qué tan efectivo resultó? https://t.co/e4vagwH89t"
60,La Legislatura aprobó por 32 votos a favor y siete en contra el DNU del #pasesanitario https://t.co/IY7IJSUPF9 https://t.co/72NKtwUE8T
61,"#Hurlingham // Presentaron un proyecto en contra de la implementación del pase sanitario 💉

#PaseSanitario #Salud #Coronavirus #Vacunación #Pandemia  

https://t.co/Lh19Sf15ew"
62,"#Ahora 39 legisladores: 32 votos afirmativos y 7 negativos 

#PaseSanitario #Tucuman"
63,"#SantaCruz exige #PaseSanitario para que nuestros hijos reciban #Educación, cuando estuvieron la mayoría 2 años sin tener #ClasesPresencial , ni #Virtual por no brindar las condiciones y herramientas para que la #EducacionParaTodos esta decisión es #Inconstitucional y #Libertad"
64,"#PaseSanitario #SantaCruz
Dr Juan Acuña Kunz ""El pase sanitario para el colegio, se va a aplicar para todos los empleados públicos. Ojalá que esto sea así, porque la vacuna salva, y el que no esté vacunado debería sufrir una serie de consecuencias en el orden civil"""
65,"#PaseSanitario #SantaCruz
Dr Juan Acuña Kunz ""La vacuna debería estar en el calendario obligatorio de vacunación. Antes de la vacuna la mortalidad era del 2%,. Hoy es del 0,6% y esto se debe al éxito de la vacunación """
66,"Sesión Extraordinaria en la @LegislaturaTuc
#PaseSanitario
Anticipamos el voto negativo del bloque de #FuerzaRepublicana
Instamos a la población a vacunarse y cuidarse, como siempre lo hemos hecho, pero de ninguna manera, acompañaremos medidas que son inconstitucionales. https://t.co/pynhsrUol8"
67,"#PaseSanitario #SantaCruz
Dr Juan Acuña Kunz ""Todavía es bajo el pocentaje de niños que se han vacunado en Santa Cruz. Es muy importante para evitar la propagación del virus. Yo creo que esto que decidió Santa Cruz va a terminar pasando en el país"""
68,"#PaseSanitario #SantaCruz
Dr Juan Acuña Kunz ""Esta gente habla de que tiene grafeno, y es una mentira. Esta gente esta equivocada y eso nos hace mal"""
69,"#PaseSanitario #SantaCruz
Dr Juan Acuña Kunz ""No me importa que hablen de dictadura sanitaria y de autoritarismo. Hay que ser muy claro porque sino aca cualquiera hace lo que quiere. Y aca hablamos de una cuestión de vida. Los antivacunas tienen el cerebro deshabitado"""
70,"#PaseSanitario #SantaCruz
Dr Juan Acuña Kunz - La aplicacion del pase sanitario es una medida solidaria para evitar que otras personas se contagien. No entiendo como hay gente que está en contra de cuidarse y cuidar a los demas. De salvar a la gente"""
71,"⚖️ La Corte Suprema chilena prohibirá el acceso a los tribunales de Justicia a toda persona que no cuente con el pase sanitario.

#LATAM #LatinoaméricaPiensa #chile #pasesanitario #covid19 #pandemia 

https://t.co/WM0hIwGTHI"
72,"Los legisladores @HORACIOVERMAL y @AlbarracinDif anticipan que votarán en contra de la ampliación del #PaseSanitario 

👉🏼 “no puede haber ciudadanos de primera y de segunda” https://t.co/1hDIuNaWrP"
73,Seguí en vivo el debate en la Legislatura por la prórroga del #pasesanitario en #Tucumán https://t.co/nA0bTj4tfn https://t.co/xJW0kIz76A
74,"La #UNCuyo vuelve con #ClasesPresenciales. Se estarán llevando a cabo campañas de vacunación dentro del campus y no se exigirá el #PaseSanitario
https://t.co/TBSjllZqNG"
75,"📻 FM 105.9
🖥️ https://t.co/TPwwQKIxua
📱 AM 1330 Rosario en la Play Store

#TodasLasVoces
#Casilda
#PaseSanitario https://t.co/trEXp4FgDi"
76,"@ximopuig va ud a seguir manteniendo el #pasesanitario después de que D. Joan-Ramon Laporte Roselló, el mayor experto en fármaco vigilancia que tenemos en nuestro país evidencie no solo que no funciona sino que es contraproducente?  https://t.co/CkosELKNqE"
77,No al #PaseSanitario en Córdoba. Basta ya de restringir nuestros derechos. Una vacuna no obligatoria y te prohíben el derecho a la educación y si tu hijo no tiene el experimento 2 testeos a la semana? Una locura! El mundo se está despertando. @JSchiaretti @gobdecordoba
78,Lo que los medios te ocultan @Intratables @telefenoticias @todonoticias @C5N @telenoche @clarincom @LANACION #pasesanitario #Pasenazitario #FreedomConvoyArgentina https://t.co/8m0YOZb2EK
79,"Hay algún político en cinta del ""PaseNazi ? O son todos la misma m....a? #PaseSanitario"
80,Un grupo de #libertarios y #antivacunas protestaron ante la Casa Rosada contra el #pasesanitario https://t.co/GcMHTQIECi
81,"@carolinalosada @anitalmartinez @MartinRosua @germanafc @jgaldeano @GermanPugnaloni @AleRossello @DanielaLeonTW Carolina, estas a favor o en contra del #pasesanitario ?"
82,"ARGENTINA: 122.943 muertos por el robo de vacunas y fiestas VIP 

#MasCuarentonasYMenosCuarentena #Coronavirus #Pandemia Argentinas #Corona #Arg #RealidadMataRelato #Argentina #Olivos #Omicron #EmosidoEngañado #VacunatorioVip  #RobaronLasVacunas #VerguenzaMundial #PaseSanitario https://t.co/8uM9eYAqSD"
83,#Plandemia #Covidiotas #COVID19 #plandevacunacion #COVIDPERSISTENTE #pasesanitario #CovidVaccination https://t.co/c56QAFeVo8
84,"SERIA bueno q se pongan las PILAS x y para el pueblo.
Tardaron 7 años en.MODIFICAR la ley CONSEJO MAGISTRATURA , q permitio las ABERRACIONES a favir de CRISTINA..
#PaseSanitario  ANTICONSTITUCIONAL..y bien gracias.. https://t.co/isyGUQ69i0"
85,"Millones de canadienses, por iniciativa de los camioneros, tomaron las calles en masa en protesta sobre el avance del autoritarismo materializado en la exigencia del #PaseSanitario 
La Canadá de J. Trudeau responde con una prohibición de los bocinazos https://t.co/KjqXKqB8Tq"
86,"@949alejandro @C5N Es un absurdo. Asi estan los que tienen #PaseSanitario Mal.
https://t.co/oiFUnySzqK"
87,@martintetaz @LaMacrista @carolina_moine @IiRodan ¡Es mentira! Cerrarle puertas a los no vacunados con un #PaseSanitario no es respetar la libertad del otro. 🤨
88,"Los corderos merecen el matadero. No más intentar salvar a ninguno.

#pasesanitario #NoAlPaseSanitario #NoAlPaseSanitarioArgentina #YoNoMeVacuno #grafeno"
89,"El covid es la prueba máxima de cuan fácil es distraer idiotas.

#pasesanitario #NoAlPaseSanitario #grafeno"
90,"👆👆en Livorno 🇮🇹 Italia! restaurantes desocupados x exigir pass C0vid y calles llenas d gente comiendo en ellas esto esto es un estilo de desobediencia civil , pr0testa pacífica! #COVID19 #covidiota #COVIDPERSISTENTE #pasesanitario #restrictions #VacinasSalvamVidas #vacunacion https://t.co/B07AcAqR97"
91,#NoAlPaseSanitario #yonomelapongo #pasesanitario #grafeno #todastienengrafeno https://t.co/zHnjWPIqid
92,"Por su baja eficacia, Israel da de baja el “pase verde sanitario” https://t.co/W8SSvWZFgO a través de @BAOpina #Israel #pasesanitario #restricciones"
93,"#PaseSanitario, para asistir a la facultad. Creo que sale amparo nomás! No dejan opción."
94,"Reclamo de estudiantes en la Universidad Nacional de Rosario en contra del #pasesanitario que exigen para poder ingresar a estudiar. Gobierno promotor de la discriminación y la intolerancia, creador de medidas anticonstitucionales e ilegales. #NoAlPaseSanitario https://t.co/2F5uIaw4CL"
95,"El nuevo Chile con Dignidad y Esperanza.

#PaseSanitario #Vacunacion #Covid #Inmigración #InmigracionIlegal #Frontera #Soberanía #DictaduraSanitaria #Política #Chile https://t.co/VeaHZUM95p"
96,"📣 ¿Por qué hay temas que no son “debatibles”?

El Dr Romero Moreno explica q una minoría, elegida por una mayoría, no puede decidir sobre temas en contra del Dcho Natural (#Aborto, #PaseSanitario) pues de hacerlo se convertiría en lo que Talmón denominó “democracia totalitaria”. https://t.co/gdeI2qSWlC"
97,#Pasesanitario out #PLAZADEMAYO #PlazadeMayo #Urgente #MasterChefCelebrity #Netflix https://t.co/iA1NeZHCIL
98,@PoliticoOrgAr El #pasesanitario
99,"@Kicillofok @ierrejon Y a mi que me importa, nazi! Eliminá el #PaseSanitario, represor fascista!"
100,#PlazadeMayo #Libertad #Pasesanitario #ConvoyForFreedom 🇦🇷🇦🇷💕 https://t.co/ukkx8O5Z30
101,"@Solanopo Lo único que equivale a contagios es la falta de prevención.
La burocracia no detiene los contagios y no elimina virus. Por eso las DDJJ y los #PaseSanitario sólo sirven para engañar a la ciudadanía"
102,"@fbartolacci Insiste en pedir #PaseSanitario Bartolacci? La universidad de La Plata y de la Matanza desistieron de tal violación a los derechos de los alumnos a decidir si inocularse o no, un experimento.  Lea el paper de The Lancet por favor y luego  nos explica para que sirve el pase. Grax"
103,@949alejandro @C5N El #PaseSanitario no evita contagios. Es un trámite burocrático
104,"En minutos, en vivo @FranSanchezNQN en vivo para @Canal7Salta en nota sobre #PaseSanitario.
Míralo 👇 https://t.co/znQrSano41"
105,"#Enterate 🇮🇹 | Los Milaneses en contra de la #DictaduraSanitaria y se niegan a mostrar su #PaseSanitario para entrar en bares y restaurantes. Decidieron traer comida y bebida de casa para un aperitivo al aire libre, todos juntos, vacunados y no.

#Italia

https://t.co/YT8m5ioCvl"
106,"#UNMdP #Universidades #MarDelPlata #PaseSanitario Desde la UNMdP descartaron nuevamente la posibilidad de exigir pase sanitario
 https://t.co/OazFM67XLs @LazzerettiAR @unmdp https://t.co/JCWWANGiRH"
107,"Santa Cruz exigirá vacunación obligatoria a los alumnos a partir de los 4 años 

#SantaCruz #VacunaciónObligatoria #PaseSanitario
#Alumnos #Colegios 
https://t.co/yau8Pdutzl https://t.co/i3buWFGeJb"
108,"“El alumno que no esté vacunado va a poder rendir, pero vamos a trabajar con las medidas de prevención” afirmó.

➡Entrevista completa: https://t.co/xKu2xKSawv

#EntrevistasREC #MedidasSanitarias #PaseSanitario #VacunaciónCovid #UniversidadNacionalDeRosario #Covid19 @indianavil"
109,"⚖️ La Corte Suprema chilena prohibirá el acceso a los tribunales de Justicia a toda persona que no cuente con el pase sanitario.

#LATAM #LatinoaméricaPiensa #chile #pasesanitario #covid19 #pandemia 

https://t.co/WM0hIwGTHI"
110,"🇮🇱💉😷| #MundoRED92 | #Israel | #COVID19 | #PaseSanitario | #Pandemia |

Israel cancela el pase sanitario 

Solo se requerirá la presentación de ese documento al ingresar a salas de eventos y clubes de baile.

https://t.co/0JJNMde2EA"
111,"#PaseSanitario I ""En los estadios de fútbol es en uno de los lugares en lo que se puede plantear. Requiere de esfuerzos y prevención adicional, hay que adoptar una estrategia inteligente"" @JuanPusineri"
112,#VACUNASasesinas #PaseDeMovilidad #pasesanitario https://t.co/ki1e3jX0kK
113,"El Jefe de Gobierno porteño adelantó la eliminación de las burbujas y de los aislamientos por contacto estrecho. Además, confirmó que en las #escuelas porteñas no se exigirá el #PaseSanitario. https://t.co/5CThpC5KX3"
114,"Miren tal belleza 
Escuchen el audio jajajaja
Cortesía en instagram de @danilodrac
#TiraniaSanitaria #PaseSanitario #vacunacion #AlDiaConShirley #EnginAkyuerek #AmarProfundo # https://t.co/H1m4B3TBle"
115,"Llevo como 10 minutos riendo con esto. 😂😂😂
#PaseSanitario
#Pase 🤷🏼‍♀️ https://t.co/YeRz4cq34n"
116,Acá mostrando mi #PaseSanitario https://t.co/nCsXpJlnKq
117,"@SaludRosario Hola! 
Ayer tuve un cumple en mí pueblo, una de las presentes no está vacunada y contó, riéndose mucho, q ella va a los #Shoppings d #Rosario cada vez q quiere xq cuando le piden el #PaseSanitario dice q ""lo dejó en la casa y no es de la ciudad"" @pablojavkin
#½Pila"
118,"#PaseSanitario Está confirmado que la #Uncuyo, #Champagnat y #Mazza, no pedirán pase sanitario. Afirman que seguirán el estado sanitario y epidemiológico de la provincia y se respetarán las normativas vigentes. #HoyPorHoy @7francodiaz https://t.co/MBY9mrgfJK"
119,"Esto pasa en los colegios e institutos #Canadienses, los alumnos se revelan contra los #pasesanitario y #Mandates @Truckers4Fredom @Truckers4Freedm #CanadaTruckers https://t.co/IjinM1Fzk3"
120,"#PaseSanitario 

La Ciudad de Buenos Aires confirmó que no pedirá pase sanitario y eliminará protocolos

https://t.co/RsOZpb1ORH"
121,".@spitta1969 presentó ante la Corte Suprema un recurso contra el #pasesanitario 

✍️Por Christian Sanz
https://t.co/vSzYm95VKd"
122,"""Apuntamos a la tercera dosis"": Medina Ruiz fundamentó la prórroga del #pasesanitario en #Tucumán https://t.co/7Sh4clXVfp https://t.co/WOo86BC5Ek"
123,"ESTA AGITADO !!! LOS OJOS MUY ABIERTOS !!! INQUIETO !!!
ESTA ADULTERADO ???
SE DIO EL #PaseSanitario ?
LO MEJOR QUE HACE UN PSICOPATA MANIPULADOR ES ENCONTRAR MASAS QUE LE CREEN... https://t.co/sn3Hvq2YAJ"
124,"@FernanQuirosBA  aclaró que “en la Ciudad el pase sanitario no tiene aplicabilidad”

Toda la información la encontrás en #DixitP 👇

https://t.co/TMJLGnsANZ

#CABA #protocolo #salud #pandemia #covid19 #coronavirus @gcba #dixitpinforma @horaciorlarreta #pasesanitario #barbijo"
125,"En breve inauguraremos la exposición 'San Martín, cóndor de la libertad' 💂 Los vecinos podrán acercarse al museo Casa Molinas a disfrutar de esta muestra gratuita 🙌 Será obligatorio presentar el #PaseSanitario y respetar las medidas preventivas 😷 ⬇️ https://t.co/LMcffWAcjp"
